measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Viet Nam,Both,All ages,Stroke,Number,2021,166954.18386640074,193350.85808836162,139507.68624257584
Deaths,Nigeria,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Viet Nam,Both,All ages,Rheumatoid arthritis,Number,2021,194.94396520464736,271.8337348186644,111.93432075885872
Deaths,Congo,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Indonesia,Both,All ages,Measles,Number,2019,685.9190054120651,1669.1115406167087,215.05575753721558
Deaths,Indonesia,Both,All ages,Malaria,Number,2019,1223.131521610346,5355.001359819412,101.8652957201856
Deaths,Nigeria,Both,All ages,Asthma,Number,2021,6366.827104013929,8572.826376772426,4892.026799565902
Deaths,Viet Nam,Both,All ages,Tuberculosis,Number,2017,20762.777356844876,25761.442538156003,16427.79415081903
Deaths,Nigeria,Both,All ages,COVID-19,Number,2021,130484.67050881452,147169.2377797824,116806.81877518176
Deaths,Indonesia,Both,All ages,Asthma,Number,2019,26802.109289847358,33628.03038619912,21494.835287032653
Deaths,Indonesia,Both,All ages,Diabetes mellitus,Number,2020,60172.97926612321,69884.77622208292,49121.00968951502
Deaths,Bangladesh,Both,All ages,Tuberculosis,Number,2020,30238.264260247797,37599.68484122805,23900.71582244642
Deaths,Bangladesh,Both,All ages,Stroke,Number,2020,173142.01461386596,211199.73025572384,143456.17188532354
Deaths,Bangladesh,Both,All ages,Rheumatoid arthritis,Number,2020,717.8297507225607,1135.3443753933686,460.2524749398291
Deaths,Japan,Both,All ages,Rheumatoid arthritis,Number,2021,2211.710744687821,2470.251144699405,1798.879856000171
Deaths,Indonesia,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Viet Nam,Both,All ages,Stroke,Number,2017,157068.96083459724,178505.99627554737,133266.98821528594
Deaths,Indonesia,Both,All ages,COVID-19,Number,2020,90130.75531427129,185006.37993711274,29304.893838516065
Deaths,India,Both,All ages,Acute hepatitis,Number,2020,29777.888467600875,41522.5877000732,21964.585472854604
Deaths,India,Both,All ages,Diabetes mellitus,Number,2020,327613.5463034817,359318.93161589804,294854.0801026044
Deaths,Pakistan,Both,All ages,Tuberculosis,Number,2020,66676.29968308835,85567.16729392936,47190.87748350782
Deaths,Pakistan,Both,All ages,Measles,Number,2020,1086.4519297462098,2149.1503002946,468.23892901429923
Deaths,Pakistan,Both,All ages,Stroke,Number,2020,99364.11040917267,118806.12645507534,81366.60438890383
Deaths,Ethiopia,Both,All ages,Tuberculosis,Number,2020,30385.738895790153,35979.55823529821,25468.381314630624
Deaths,Pakistan,Both,All ages,Asthma,Number,2020,13753.381472270716,26551.79229523452,9044.552020306684
